0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Share of each polymer in each group of plastic packaging products,,,,,ref,assuming the same share for all,,,,,,,,,,,,,,,,,,
2,,,,,,,assuming small format to be mono-material rigid,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,HDPE,LDPE,PP,PET,PS,PVC,,,,,,,,,,,,,,,,,,
8,"flexible (films and bags), mono-layer plastic packaging production",0.213877362,0.2031855717,0.2908748746,0.2212446645,0.04990293683,0.02091459035,,,,,,,,,,,,,,,,,,
9,"flexible (films and bags), multi-layer plastic packaging production",0.213877362,0.2031855717,0.2908748746,0.2212446645,0.04990293683,0.02091459035,,,,,,,,,,,,,,,,,,
10,"rigid, mono-layer plastic packaging production",0.213877362,0.2031855717,0.2908748746,0.2212446645,0.04990293683,0.02091459035,,,,,,,,,,,,,,,,,,
11,"rigid, multi-layer plastic packaging production",0.213877362,0.2031855717,0.2908748746,0.2212446645,0.04990293683,0.02091459035,,,,,,,,,,,,,,,,,,
12,small-size plastic packaging production,0.213877362,0.2031855717,0.2908748746,0.2212446645,0.04990293683,0.02091459035,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,OpneLCA,,,,,,,,,,,,,,,,,,,,,,,,
22,Polymers,mass flow (million tonne),,,,,,,,,,,,,,,,,,,,,,,
23,PET,36.027,0.213877362,,,,,,,,,,,,,,,,,,,,,,
24,HDPE,34.226,0.2031855717,,,,,,,,,,,,,,,,,,,,,,
25,LDPE/LLDPE,48.997,0.2908748746,,,,,,,,,,,,,,,,,,,,,,
26,PP,37.268,0.2212446645,,,,,,,,,,,,,,,,,,,,,,
27,PS,8.406,0.04990293683,,,,,,,,,,,,,,,,,,,,,,
28,PVC,3.523,0.02091459035,,,,,,,,,,,,,,,,,,,,,,
29,Total,168.447,1,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,Packaging products categories,Share in plastic packaging economy (wt. %),total = 168.447,share of rigid in multi-layer,0.7692307692,,,,,,,,,,,,,,,,,,,,
32,small-size,0.10,16.002465,share of flexible in multi-layer,0.2307692308,,,,,,,,,,,,,,,,,,,,
33,Rigid medium/large-size mono-material,0.49,82.53903,,,,,,,,,,,,,,,,,,,,,,
34,Rigid medium/large-size multi-material,0.03,5.05341,,,,,,,,,,,,,,,,,,,,,,
