,,,Process name,Use & collection,"acetic acid production, product in 98% solution state | acetic acid, without water, in 98% solution state | APOS, S","acetylene production | acetylene | APOS, S","activated silica production | activated silica | APOS, S","advanced recycling, delamination, multi-layer plastic packaging","advanced recycling, STRAP, multi-layer plastic packaging","air separation, cryogenic | nitrogen, liquid | APOS, S","air separation, cryogenic | oxygen, liquid | APOS, S","alkylbenzene sulfonate production, linear, petrochemical | alkylbenzene sulfonate, linear, petrochemical | APOS, S","aluminium sulfate production, powder | aluminium sulfate, powder | APOS, S","ammonium sulfate production | ammonium sulfate | APOS, S",Bio ethylene dichloride production,"Bio-Cyclohexa-2,5-diene-1,4-dicarboxylate production",Bio-ethylene oxide production,Bio-ethylene production,Bio-ethylene production (monomer),Bio-MEG production (monomer),Bio-Muconic acid production,Bio-propylene production (monomer),Bio-styrene production,Bio-TPA production (monomer),Bio-vinyl chloride production,"cement clinker, mixed plastic packaging,sorted","chemical factory construction, organics | chemical factory, organics | APOS, S","chemical production, inorganic | chemical, inorganic | APOS, S","chemical production, organic | chemical, organic | APOS, S","chemical recycling with metal oxide, PS sorted","chlorine production, liquid | chlorine, liquid | APOS, S","citric acid production | citric acid | APOS, S","copper production, cathode, solvent extraction and electrowinning process | copper, cathode | APOS, S","depolymerization, enzymatic hydrolysis, PET sorted","depolymerization, glycolysis, PET sorted","dewatering of ethanol from biomass, from 95% to 99.7% solution state | ethanol, without water, in 99.7% solution state, from fermentation | APOS, S","diesel production, petroleum refinery operation | diesel | APOS, S","electricity production, medium voltage, petroleum refinery operation | electricity, medium voltage | APOS, S","electricity voltage transformation from high to medium voltage | electricity, medium voltage | APOS, S","enzymes production | enzymes | APOS, S","ethylene glycol production | ethylene glycol | APOS, S","flexible, mono-layer plastic packaging production","flexible, multi-layer plastic packaging production","formic acid production, methyl formate route | formic acid | APOS, S",Fossil-ethylene production,Fossil-MEG production,Fossil-propylene production,Fossil-styrene production,Fossil-TPA production,Fossil-vinyl chloride production,"gasification to methanol, mixed plastic waste sorted","glucose production | glucose | APOS, S","hard coal mine operation and hard coal preparation | hard coal | APOS, S",HDPE production,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | heat, district or industrial, natural gas | APOS, S","heat production, natural gas, at industrial furnace low-NOx >100kW | heat, district or industrial, natural gas | APOS, S","heavy fuel oil production, petroleum refinery operation | heavy fuel oil | APOS, S","incineration, electricity recovery, plastic packaging waste","incineration, electricity recovery, plastic residues","landfill, plastic packaging waste","landfill, plastic residues",LDPE production,"light fuel oil production, petroleum refinery operation | light fuel oil | APOS, S","lignite mine operation | lignite | APOS, S","lime production, hydrated, loose weight | lime, hydrated, loose weight | APOS, S","liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | APOS, S","market for ammonia, anhydrous, liquid | ammonia, anhydrous, liquid | APOS, S","market for chlorine, gaseous | chlorine, gaseous | APOS, S","market for compressed air, 600 kPa gauge | compressed air, 600 kPa gauge | APOS, S","market for ethanol, without water, in 99.7% solution state, from fermentation | ethanol, without water, in 99.7% solution state, from fermentation | APOS, S","market for hydrochloric acid, without water, in 30% solution state | hydrochloric acid, without water, in 30% solution state | APOS, S","market for hydrogen, liquid | hydrogen, liquid | APOS, S","market for municipal solid waste | municipal solid waste | APOS, S","market for nitrogen, liquid | nitrogen, liquid | APOS, S","market for oxygen, liquid | oxygen, liquid | APOS, S","market for sawlog and veneer log, softwood, debarked, measured as solid wood | sawlog and veneer log, softwood, debarked, measured as solid wood | APOS, S","market for sewage sludge, dried | sewage sludge, dried | APOS, S","market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | APOS, S","market for wastewater, average | wastewater, average | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","market group for heat, district or industrial, other than natural gas | heat, district or industrial, other than natural gas | APOS, S","market group for natural gas, high pressure | natural gas, high pressure | APOS, S","mechanical recycling, HDPE sorted","mechanical recycling, LDPE sorted","mechanical recycling, PET sorted","mechanical recycling, PP sorted","mechanical recycling, PS sorted","mechanical recycling, PVC sorted","methanol production | methanol | APOS, S","Mismanaged waste treatment, uncontrolled landfill, plastic packaging waste","Mismanaged waste treatment, uncontrolled landfill, plastic residues","naphtha production, petroleum refinery operation | naphtha | APOS, S","natural gas production | natural gas, high pressure | APOS, S","natural gas production, liquefied | natural gas, liquefied | APOS, S","non-ionic surfactant production, fatty acid derivate | non-ionic surfactant | APOS, S","PET fiber production, PET sorted",PET production,"petrol, unleaded, burned in machinery | petrol, unleaded, burned in machinery | APOS, S","petroleum and gas production, on-shore | natural gas, high pressure | APOS, S","petroleum production, onshore | petroleum | APOS, S","pitch production, petroleum refinery operation | pitch | APOS, S","plastic lumber production, mixed plastic waste, sorted","polydimethylsiloxane production | polydimethylsiloxane | APOS, S","potassium hydroxide production | potassium hydroxide | APOS, S",PP production,PS production,PVC production,"pyrolysis (monomer production), HDPE sorted","pyrolysis (monomer production), LDPE sorted","pyrolysis (monomer production), PP sorted","pyrolysis, feedstock recycling, mixed plastic waste, sorted","rigid, mono-layer plastic packaging production","rigid, multi-layer plastic packaging production","road pavement production, mixed plastic waste, sorted",small-size plastic packaging production,"sodium chloride production, powder | sodium chloride, powder | APOS, S","sodium phosphate production | sodium phosphate | APOS, S","sodium sulfate production, from natural sources | sodium sulfate, anhydrite | APOS, S","solvent production, organic | solvent, organic | APOS, S","sorting, non-optical manual and automatic sorter (commercial)","sorting, optiacl sorter (commercial)","sorting, optical with film sorter (commercial)","sorting, optical with film, multilayer, and AI sorter (emerging)","steam production, as energy carrier, in chemical industry | heat, from steam, in chemical industry | APOS, S","steam production, in chemical industry | steam, in chemical industry | APOS, S","sulfuric acid production | sulfuric acid | APOS, S","tap water production, conventional treatment | tap water | APOS, S","textile production, nonwoven polyester, needle-punched | textile, nonwoven polyester | APOS, S","titanium tetrachloride production | titanium tetrachloride | APOS, S","treatment of average incineration residue, residual material landfill | average incineration residue | APOS, S","treatment of hazardous waste, hazardous waste incineration, with energy recovery | hazardous waste, for incineration | APOS, S","treatment of hazardous waste, underground deposit | hazardous waste, for underground deposit | APOS, S","treatment of inert waste, sanitary landfill | inert waste | APOS, S","treatment of municipal solid waste, sanitary landfill | municipal solid waste | APOS, S","treatment of sewage sludge by anaerobic digestion | sewage sludge | APOS, S","treatment of spent catalyst base from ethyleneoxide production, residual material landfill | spent catalyst base from ethyleneoxide production | APOS, S","treatment of spent solvent mixture, hazardous waste incineration, with energy recovery | spent solvent mixture | APOS, S","treatment of waste paperboard, sanitary landfill | waste paperboard | APOS, S","treatment of waste plastic, mixture, sanitary landfill | waste plastic, mixture | APOS, S","treatment of waste plastic, mixture, unsanitary landfill, wet infiltration class (500mm) | waste plastic, mixture | APOS, S","treatment of wastewater, average, capacity 1E9l/year | wastewater, average | APOS, S","treatment of wastewater, average, capacity 4.7E10l/year | wastewater, average | APOS, S","treatment of wastewater, unpolluted, capacity 5E9l/year | wastewater, unpolluted | APOS, S","water production, completely softened | water, completely softened | APOS, S","water production, deionised | water, deionised | APOS, S"
,,,Product name,plastic packaging consumption,"acetic acid, without water, in 98% solution state",acetylene,activated silica,"multi-layer plastic packaging, sorted","multi-layer plastic packaging, sorted","nitrogen, liquid","oxygen, liquid","alkylbenzene sulfonate, linear, petrochemical","aluminium sulfate, powder",ammonium sulfate,bio-ethylene dichloride,"bio-Cyclohexa-2,5-diene-1,4-dicarboxylate",bio-ethylene oxide,bio-ethylene,bio-ethylene,bio-MEG,Bio-muconic acid,bio-propylene,bio-styrene,bio-TPA,bio-vinyl chloride,"mixed plastic packaging, sorted","chemical factory, organics","chemical, inorganic","chemical, organic","PS waste, sorted","chlorine, liquid",citric acid,"copper, cathode","PET waste, sorted","PET waste, sorted","ethanol, without water, in 99.7% solution state, from fermentation",diesel,"electricity, medium voltage","electricity, medium voltage",enzymes,ethylene glycol,"flexible, mono-layer plastic packaging","flexible, multi-layer plastic packaging",formic acid,ethylene,ethylene glycol,propylene,styrene,purified terephthalic acid,vinyl chloride,"mixed plastic packaging, sorted",glucose,hard coal,"polyethylene, high density, granulate","heat, district or industrial, natural gas","heat, district or industrial, natural gas",heavy fuel oil,plastic packaging waste,plastic residues,plastic packaging waste,plastic residues,"polyethylene, low density, granulate",light fuel oil,lignite,"lime, hydrated, loose weight",liquefied petroleum gas,"ammonia, anhydrous, liquid","chlorine, gaseous","compressed air, 600 kPa gauge","ethanol, without water, in 99.7% solution state, from fermentation","hydrochloric acid, without water, in 30% solution state","hydrogen, liquid",municipal solid waste,"nitrogen, liquid","oxygen, liquid","sawlog and veneer log, softwood, debarked, measured as solid wood","sewage sludge, dried","sodium hydroxide, without water, in 50% solution state","wastewater, average","electricity, medium voltage","heat, district or industrial, natural gas","heat, district or industrial, other than natural gas","natural gas, high pressure","HDPE waste, sorted","LDPE waste, sorted","PET waste, sorted","PP waste, sorted","PS waste, sorted","PVC waste, sorted",methanol,plastic packaging waste,plastic residues,naphtha,"natural gas, high pressure","natural gas, liquefied",non-ionic surfactant,"PET waste, sorted","polyethylene terephthalate, granulate, amorphous","petrol, unleaded, burned in machinery","natural gas, high pressure",petroleum,pitch,"mixed plastic packaging, sorted",polydimethylsiloxane,potassium hydroxide,"polypropylene, granulate","polystyrene, general purpose","polyvinylchloride, bulk polymerised","HDPE waste, sorted","LDPE waste, sorted","PP waste, sorted","mixed plastic packaging, sorted","rigid, mono-layer plastic packaging","rigid, multi-layer plastic packaging","mixed plastic packaging, sorted",small-size plastic packaging,"sodium chloride, powder",sodium phosphate,"sodium sulfate, anhydrite","solvent, organic",plastic packaging waste,plastic packaging waste,plastic packaging waste,plastic packaging waste,"heat, from steam, in chemical industry","steam, in chemical industry",sulfuric acid,tap water,"textile, nonwoven polyester",titanium tetrachloride,average incineration residue,"hazardous waste, for incineration","hazardous waste, for underground deposit",inert waste,municipal solid waste,sewage sludge,spent catalyst base from ethyleneoxide production,spent solvent mixture,waste paperboard,"waste plastic, mixture","waste plastic, mixture","wastewater, average","wastewater, average","wastewater, unpolluted","water, completely softened","water, deionised"
,,,UUID,75d2b6dc-46d5-42a5-9f26-e6cba79d168c,e36aa595-9fc6-4eff-8f34-a9b11f460762,ac271101-169f-43d6-913e-624d1a1b6683,aef8dfb0-f2a7-4ce6-9559-afe913243fc3,13a2f97f-d4c3-43b1-93f2-7a967794e858,13a2f97f-d4c3-43b1-93f2-7a967794e858,159edf36-233e-4e2c-aec0-b0ac0d49f528,28c2473e-1e11-4078-9a76-de9550553adc,29026153-01e0-4b94-9ba5-173e3986ed08,761145b7-3abe-48a5-a426-da5da6c36674,6f4bede8-f885-499c-8ac9-6832e35d9d16,24e095c0-7c86-4805-a596-4f842f19e9af,68e3b7fb-d925-4210-a09c-bcd91c775c35,a43658b0-59cd-480c-9d79-c9fffe3b5293,9e02a198-b15e-454a-9415-1162c063c0d7,9e02a198-b15e-454a-9415-1162c063c0d7,6bf179b3-2f6a-4cd5-9bb5-a579e4b07748,2c1f19f6-2737-4213-a2e2-9929076d4a8b,b9260650-20a4-4cde-862f-1ba2d9f142f4,f13ecf4d-363e-4332-abe1-998d700d42a3,5ded3b0f-d90f-4be7-a48c-cbb3a2716b3f,243b8a26-2ece-4366-b18f-03fb62960664,06f72394-4896-4ccb-af36-5f502826ba54,3d0fe4e0-eac9-4704-b3fd-09b8594d0fbe,73b452c8-3ac4-4993-86e4-fe0653467988,2be73167-58e8-4706-a68f-167c80df9f72,c24c3186-ac23-4098-aaf9-0d761856927c,a6b32de2-648a-4cd7-a256-9b122f68dd8b,5a337107-6bdb-4280-84d4-15a4993c51c9,fbb039f7-f9cc-46d2-b631-313ddb125c1a,3d20a581-6a2f-4bb8-880a-021ed8cd8b17,3d20a581-6a2f-4bb8-880a-021ed8cd8b17,508155f4-0601-4a0b-be0f-9ac7d558605a,291fc06d-1b3e-4077-aabb-346b588ed24b,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,b9e7503c-58d1-436d-bc16-6f7d09efffd7,4052f31f-cd94-4b86-b075-210914586a0f,78231b41-4634-4f17-872d-232a85e98f90,80ede8b0-a962-468b-b40c-c39907251298,118a9202-6b68-44aa-82b5-2c2bf5bc02cf,44e8a892-3178-4352-a898-722e68990fe9,4052f31f-cd94-4b86-b075-210914586a0f,b658a402-79b9-4a02-a818-f6090adb13f1,0df0db82-8e1d-4053-8cfc-5019470a86a7,d479404a-f180-41cc-a587-4425b64e4a00,e12623c0-bab9-4ed6-81f6-d0dbb086040a,06f72394-4896-4ccb-af36-5f502826ba54,fde9ca6e-daef-4963-a975-e8128d2bf92f,0d3eda5a-4601-4573-9549-0701c459ab88,b685192a-e033-421e-9074-8fe7cb176046,1125e767-7b5d-442e-81d6-9b0d3e1919ac,1125e767-7b5d-442e-81d6-9b0d3e1919ac,2966d161-5281-47d6-86d3-efbb0a4b2110,0826aa7d-be93-448e-b0d2-cec5e2a516fc,04906fa3-52b5-48a3-a82e-d21f7c304b06,0826aa7d-be93-448e-b0d2-cec5e2a516fc,04906fa3-52b5-48a3-a82e-d21f7c304b06,947a85fa-114e-4d9e-b36c-3293e48ea5ae,b89dadb0-75e9-44fd-8d41-1ec8dcce23b6,1456f165-52a4-47f3-a5c3-e13dfb13626d,e40cb987-863a-4eb1-9e2d-f6e78320288f,9d447e1a-a41a-43ac-b374-d0fc6dcb61df,06b8d05b-e1e6-427b-929c-bb55e84e7c08,0992e479-07eb-4837-8aa3-d4411f675dad,58c5a1af-21fa-4cd1-a7a2-a63f454b411e,508155f4-0601-4a0b-be0f-9ac7d558605a,3ab60559-40d3-42e4-9cac-476a519098fa,8d78a0dc-1489-48c1-8bc4-7c120f318216,27da8130-82ba-485c-a800-b89efdcb0491,159edf36-233e-4e2c-aec0-b0ac0d49f528,28c2473e-1e11-4078-9a76-de9550553adc,e76d8fdf-fbea-4ae3-85d6-ea1e6d5c21c5,3b01838a-28d0-43f5-8024-3fad9a5392c2,61396bcb-bf35-411a-a6a6-8543ccef83e8,e8a51ec1-60cb-4ead-a948-ad1142c61918,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,71e2f1db-a2c5-44d0-8337-dfff15be974d,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,7ff64ef6-765e-4611-819b-37d4607d61e6,431aed04-35df-4d29-9200-d426a6ebc581,3d20a581-6a2f-4bb8-880a-021ed8cd8b17,8ae0df0b-ba37-4bdb-b1d2-bbf9b305ea3d,c24c3186-ac23-4098-aaf9-0d761856927c,67dd2955-fd27-498c-b5ed-a391c14a7262,4a0b47d3-c643-4b67-841b-b5689787f7a1,0826aa7d-be93-448e-b0d2-cec5e2a516fc,04906fa3-52b5-48a3-a82e-d21f7c304b06,27a3ac7b-e31a-48da-84f5-8dbdcb96e565,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,1570a766-fe08-427f-94cb-6947995117ec,3fc068d9-71cf-5f55-8e15-1675bbc38caf,3d20a581-6a2f-4bb8-880a-021ed8cd8b17,d585421f-a3a1-45bc-bd94-188f65865b9c,b4e0b7c5-87b9-490e-971f-9ddc8c2b08d8,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,e7a17355-8575-4be4-8c51-85e38b19b3f3,06f72394-4896-4ccb-af36-5f502826ba54,0dc25044-d414-5564-b7f3-998ef6732374,56190f78-7eaa-434a-b949-fc4bcbd4b8a8,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,a71a3671-f294-46ad-8adb-885e61d6ae4e,1768722c-0cb1-4b0b-9183-2ff16919120e,7ff64ef6-765e-4611-819b-37d4607d61e6,431aed04-35df-4d29-9200-d426a6ebc581,8ae0df0b-ba37-4bdb-b1d2-bbf9b305ea3d,06f72394-4896-4ccb-af36-5f502826ba54,89708b76-0957-4b8e-aeb8-0e88bf30f1f3,c2710b53-37cc-4af9-a5b9-fd56dc29eacf,06f72394-4896-4ccb-af36-5f502826ba54,39ad826e-0fdc-48be-b70a-f19e607ed3e1,edcfa83a-363a-4b2d-8d6a-612e32dfcdfc,2fc288b5-3414-4086-9658-84fd71ebf6ac,2cfef82e-cb0d-4864-8163-9651fc6c25eb,c6c77fb4-9850-4849-be9e-71fc9656bc03,0826aa7d-be93-448e-b0d2-cec5e2a516fc,0826aa7d-be93-448e-b0d2-cec5e2a516fc,0826aa7d-be93-448e-b0d2-cec5e2a516fc,0826aa7d-be93-448e-b0d2-cec5e2a516fc,63ead738-2005-498c-8359-7f65c134a1a4,bd20be8e-9b7a-4391-980f-4ecf8f2867be,9d63da75-8289-4b96-a900-67ec3bd40a16,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,328db9f7-c0d6-4598-b071-d67dd31974f8,aeaa3b03-0475-4c6a-9a5e-eb2323dc481a,673ad57e-ae4c-45a0-a9c1-d7796bf30a7a,e5208079-1561-4537-a1f8-863db2702d0f,6047c525-49b7-4a7d-baf6-a61283e5eda9,3a91cb7d-843b-495d-9973-33ba5efee877,27da8130-82ba-485c-a800-b89efdcb0491,634c5012-e350-42e3-a4b3-f549ea3b0270,69b2236c-0085-4805-a883-619fc4188437,cfa1d213-eeff-41a8-8744-7907cc7c4c7b,42baed81-24d1-4aed-a120-cc7d35ddac10,88afd721-07ec-4910-a004-fa3fecb6bf70,88afd721-07ec-4910-a004-fa3fecb6bf70,e8a51ec1-60cb-4ead-a948-ad1142c61918,e8a51ec1-60cb-4ead-a948-ad1142c61918,3055997a-d565-4c92-9a91-431801587a3b,cfc90fee-20f0-451a-8e50-a5bd859d3feb,360e2eb0-f81c-4e4b-ba6b-c7a690f31275
Process name,Product name,UUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use & collection,plastic packaging consumption,75d2b6dc-46d5-42a5-9f26-e6cba79d168c,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"acetic acid production, product in 98% solution state | acetic acid, without water, in 98% solution state | APOS, S","acetic acid, without water, in 98% solution state",e36aa595-9fc6-4eff-8f34-a9b11f460762,,,1,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"acetylene production | acetylene | APOS, S",acetylene,ac271101-169f-43d6-913e-624d1a1b6683,,,,1,,,,,,,,,,-0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"activated silica production | activated silica | APOS, S",activated silica,aef8dfb0-f2a7-4ce6-9559-afe913243fc3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"multiple process alternatives for treating multi-layer plastic packaging, sorted","multi-layer plastic packaging, sorted",13a2f97f-d4c3-43b1-93f2-7a967794e858,,,,,,-1000,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"air separation, cryogenic | nitrogen, liquid | APOS, S","nitrogen, liquid",159edf36-233e-4e2c-aec0-b0ac0d49f528,,,,,,,,1,,,,,,,,,,,,,,-4.90E+10,-0.03675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"air separation, cryogenic | oxygen, liquid | APOS, S","oxygen, liquid",28c2473e-1e11-4078-9a76-de9550553adc,,,,,,,,,1,,,,,,-0.463,,,,,,,,-0.11061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
